Date,city,value,location,item_id
2010-01-24,Sao Paulo-America,23.085714285714285,America,Sao Paulo
2010-01-24,Washington-America,10.171428571428573,America,Washington
2010-01-24,Hamburg-Europe,-4.242857142857143,Europe,Hamburg
2010-01-24,Roma-Europe,4.6000000000000005,Europe,Roma
2010-01-24,Madrid-Europe,8.457142857142857,Europe,Madrid
2010-01-24,Reykjavic-Europe,5.528571428571429,Europe,Reykjavic
2010-01-24,Dublin-Europe,4.1,Europe,Dublin
2010-01-24,Sydney-Oceania,24.157142857142855,Oceania,Sydney
2010-01-24,Bogota-America,13.285714285714286,America,Bogota
2010-01-24,Paris-Europe,4.2,Europe,Paris
2010-01-24,Los Angeles-America,14.671428571428573,America,Los Angeles
2010-01-24,Cape Town-Africa,20.685714285714287,Africa,Cape Town
2010-01-24,New orleans-America,21.74285714285714,America,New orleans
2010-01-24,Shanghai-Asia,7.671428571428571,Asia,Shanghai
2010-01-24,Singapore-Asia,27.24285714285714,Asia,Singapore
2010-01-24,Busan-Asia,6.1000000000000005,Asia,Busan
2010-01-24,Qingdao-Asia,0.7000000000000001,Asia,Qingdao
2010-01-24,Kuala-Asia,27.32857142857143,Asia,Kuala
2010-01-24,Yakarta-Asia,27.428571428571427,Asia,Yakarta
2010-01-24,Bahamas-America,23.814285714285713,America,Bahamas
2010-01-24,Tokyo-Asia,8.414285714285715,Asia,Tokyo
2010-01-24,Delhi-Asia,12.685714285714285,Asia,Delhi
2010-01-24,Dubai-Asia,21.228571428571428,Asia,Dubai
2010-01-24,Miami-America,26.657142857142855,America,Miami
2010-01-24,New york-America,7.542857142857143,America,New york
2010-01-24,Beijing-Asia,-1.8714285714285714,Asia,Beijing
2010-01-31,Bogota-America,14.185714285714285,America,Bogota
2010-01-31,Calgary-America,-6.357142857142857,America,Calgary
2010-01-31,Vancouver-America,7.057142857142857,America,Vancouver
2010-01-31,Sao Paulo-America,22.400000000000002,America,Sao Paulo
2010-01-31,Washington-America,5.785714285714286,America,Washington
2010-01-31,Hamburg-Europe,-3.742857142857143,Europe,Hamburg
2010-01-31,Roma-Europe,5.714285714285714,Europe,Roma
2010-01-31,Madrid-Europe,5.171428571428571,Europe,Madrid
2010-01-31,Reykjavic-Europe,2.2857142857142856,Europe,Reykjavic
2010-01-31,Dublin-Europe,2.8000000000000003,Europe,Dublin
2010-01-31,Sydney-Oceania,24.114285714285717,Oceania,Sydney
2010-01-31,Los Angeles-America,17.142857142857142,America,Los Angeles
2010-01-31,Paris-Europe,2.2285714285714286,Europe,Paris
2010-01-31,Cape Town-Africa,20.842857142857145,Africa,Cape Town
2010-01-31,Bahamas-America,23.099999999999998,America,Bahamas
2010-01-31,New york-America,2.857142857142857,America,New york
2010-01-31,New orleans-America,15.957142857142857,America,New orleans
2010-01-31,Shanghai-Asia,7.528571428571429,Asia,Shanghai
2010-01-31,Singapore-Asia,27.985714285714288,Asia,Singapore
2010-01-31,Qingdao-Asia,1.5999999999999999,Asia,Qingdao
2010-01-31,Kuala-Asia,27.514285714285712,Asia,Kuala
2010-01-31,Busan-Asia,5.642857142857143,Asia,Busan
2010-01-31,Beijing-Asia,0.10000000000000002,Asia,Beijing
2010-01-31,Tokyo-Asia,8.942857142857143,Asia,Tokyo
2010-01-31,Delhi-Asia,16.385714285714286,Asia,Delhi
2010-01-31,Dubai-Asia,20.642857142857142,Asia,Dubai
2010-01-31,Miami-America,25.3,America,Miami
2010-01-31,Yakarta-Asia,27.8,Asia,Yakarta
2010-02-07,Hamburg-Europe,-0.8428571428571429,Europe,Hamburg
2010-02-07,Calgary-America,-4.4,America,Calgary
2010-02-07,Vancouver-America,7.571428571428571,America,Vancouver
2010-02-07,Sao Paulo-America,25.314285714285713,America,Sao Paulo
2010-02-07,Washington-America,3.185714285714286,America,Washington
2010-02-07,Paris-Europe,6.057142857142857,Europe,Paris
2010-02-07,Cape Town-Africa,20.2,Africa,Cape Town
2010-02-07,Roma-Europe,5.728571428571429,Europe,Roma
2010-02-07,Reykjavic-Europe,1.0142857142857142,Europe,Reykjavic
2010-02-07,Dublin-Europe,4.6000000000000005,Europe,Dublin
2010-02-07,Sydney-Oceania,23.928571428571427,Oceania,Sydney
2010-02-07,Bogota-America,15.414285714285715,America,Bogota
2010-02-07,Madrid-Europe,7.1000000000000005,Europe,Madrid
2010-02-07,Los Angeles-America,16.185714285714287,America,Los Angeles
2010-02-07,Beijing-Asia,-3.4714285714285715,Asia,Beijing
2010-02-07,New orleans-America,13.314285714285715,America,New orleans
2010-02-07,Singapore-Asia,28.514285714285712,Asia,Singapore
2010-02-07,Busan-Asia,2.3285714285714287,Asia,Busan
2010-02-07,Qingdao-Asia,1.0714285714285714,Asia,Qingdao
2010-02-07,Kuala-Asia,27.8,Asia,Kuala
2010-02-07,Yakarta-Asia,27.514285714285712,Asia,Yakarta
2010-02-07,Shanghai-Asia,7.028571428571429,Asia,Shanghai
2010-02-07,Tokyo-Asia,4.042857142857143,Asia,Tokyo
2010-02-07,Delhi-Asia,17.071428571428573,Asia,Delhi
2010-02-07,Dubai-Asia,22.47142857142857,Asia,Dubai
2010-02-07,Miami-America,25.24285714285714,America,Miami
2010-02-07,New york-America,2.314285714285714,America,New york
2010-02-07,Bahamas-America,23.75714285714286,America,Bahamas
2010-02-14,Vancouver-America,7.328571428571428,America,Vancouver
2010-02-14,Sao Paulo-America,25.542857142857144,America,Sao Paulo
2010-02-14,Washington-America,2.357142857142857,America,Washington
2010-02-14,Hamburg-Europe,-3.4285714285714284,Europe,Hamburg
2010-02-14,Paris-Europe,-0.8,Europe,Paris
2010-02-14,Reykjavic-Europe,4.442857142857143,Europe,Reykjavic
2010-02-14,Roma-Europe,4.771428571428571,Europe,Roma
2010-02-14,Dublin-Europe,2.2,Europe,Dublin
