city,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape,Location,Item
Shanghai-Asia,2021-11-21,14.942857142857141,11.575463569405722,12.646070249656596,13.750415217021425,14.124586516434427,14.554731352925547,15.58366972617145,17.745330737854324,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2021-11-28,10.514285714285714,9.336025141577391,10.781617672242902,11.999629142479238,12.33765217074562,12.721314666584917,14.288467879134084,15.973991602344896,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2021-12-05,9.0,7.4598504944534465,9.176723426609026,9.940229226407766,10.45361963491926,11.01524209902458,12.141167460996536,13.505928130241779,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2021-12-12,11.285714285714286,5.984851460910591,7.007036292052673,8.416985079257891,8.931566217526521,9.307460237411703,10.336108074180327,11.99459793260682,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2021-12-19,7.185714285714285,4.605422426654305,6.161580250992322,7.317382198076417,7.791929706022458,8.187247987620378,9.079206074109926,10.158848529419512,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2021-12-26,6.728571428571429,3.8715786279585136,5.677591572673655,6.68206727144624,6.9543250552945555,7.3654790450129966,8.354241166154177,9.872172188910081,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-01-02,4.7,3.254505014708826,4.840639024205141,5.902649799794143,6.365480849008803,6.826518317516653,7.925923533149208,9.307180984661679,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-01-09,7.557142857142857,2.656306341080534,4.312041729839113,5.523798564766384,5.881333294801731,6.3632434951558965,7.290781741687108,9.115468673336613,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-01-16,4.785714285714286,2.772296057856351,4.302670585238779,5.356685529992781,5.766304518801499,6.216135226558768,7.405706979615563,9.133561180560557,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-01-23,7.642857142857143,2.54871845932575,3.87516871345907,5.053754909727157,5.440704046729168,5.904304328179958,7.169059812357887,8.528472446501853,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-01-30,5.042857142857143,2.962380459524534,4.163684408957187,5.363878242998368,5.827069314639717,6.224376771636835,7.418570240706808,8.805049960537403,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-02-06,4.528571428571429,2.848117091462871,4.85045376200466,5.701806361229354,6.099098538322096,6.6953858615828485,8.044158524411149,9.735229422397463,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-02-13,5.957142857142857,3.6748819727395716,5.128455463057514,6.253248380155012,6.800200057426026,7.255634044780266,8.37559265999176,10.103419609836907,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-02-20,4.5,4.6502137549976235,5.908455005349107,6.89380188529199,7.545527639430775,8.08888993077249,9.243828569801307,10.512094986463559,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-02-27,6.371428571428572,5.286019522775886,6.720217530908576,7.978718840529464,8.389758894298348,8.752907456986051,9.775596490072465,11.461671314287628,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-03-06,12.028571428571428,6.6154538149050195,7.850495471841385,9.178983219399667,9.590076932239095,10.028509627769328,11.301702329733782,12.600244945969623,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-03-13,15.828571428571431,7.631683453970488,9.238824009214007,10.352474730284975,10.827439638594507,11.26928202592724,12.183744341145225,13.945433855968524,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-03-20,12.6,8.61624573171765,9.99000780440439,11.193212213911345,11.809267770843881,12.238575858480141,13.201124781751808,14.64784692352053,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-03-27,12.057142857142859,9.863907479773477,11.30821984407434,12.470691506562714,12.884478321812843,13.411596092283316,14.582355513749105,16.153193494992866,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-04-03,11.77142857142857,10.48047120020437,12.17643240937792,13.307323964823711,13.866643809145803,14.266206140436836,15.456121406879108,17.117124311204776,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-04-10,18.057142857142857,11.86558500419087,13.337041265284714,14.687047482287127,15.150922311303411,15.595379188909721,16.725894860688157,18.24427809052452,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
Shanghai-Asia,2022-04-17,16.54285714285714,13.486417399881269,14.855693281498356,15.902230532243502,16.309401463289156,16.886217979037465,17.965169609171173,19.511070421733663,19.316823689021255,0.8138895543944246,0.19441200782023202,18.43317069523577,Asia,Shanghai
