Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Shanghai,Asia,2021-11-21,14.942857142857141,8.288954456118079,11.300988852255017,12.697584182392282,12.874861281907188,13.693453610810884,14.880460976999506,16.28159686341633,17.508143425335874,0.9299344475782204,0.2323030356483837,19.527122447822144
Singapore,Asia,2021-11-21,27.385714285714283,26.05975767305916,26.694011949977185,27.004507638796277,27.273357634273964,27.35269239815482,27.940520363888808,28.88893719784795,1.4495072260133475,0.7013556048132589,0.017424047893706947,1.4386319755836272
Busan,Asia,2021-11-21,13.942857142857141,5.5588640464412435,9.441620790064922,11.191376868181216,11.803411046507222,12.36924645496228,13.412742502075735,16.88079389506887,36.547382057702485,1.0158248393951879,0.31856547490638454,31.18560983201213
Qingdao,Asia,2021-11-21,11.299999999999999,3.878575383519498,5.367730694397247,7.714111351483766,8.027081959342656,8.260649028819545,10.257122351613438,12.719539564739023,67.73583581738544,0.8279537028167878,,69.1348413193572
Kuala,Asia,2021-11-21,28.17142857142857,26.221355952347448,26.848939226818317,27.063883852123887,27.148609632747224,27.337808750487206,27.709000881990278,28.35558169256627,1.7363736943523138,0.8627636808370207,0.01976076225873931,1.7366792369156063
Yakarta,Asia,2021-11-21,28.957142857142856,27.350307962348232,27.98921563780942,28.486173761765272,28.736709974898318,28.874796174636142,29.3303285538879,29.774764744876865,1.4868252638137407,0.8547184718546693,0.017902052571522872,1.4843085983471156
Beijing,Asia,2021-11-21,4.814285714285715,-1.329850922603485,0.6947620660470433,3.7569309093192005,4.186466113389194,5.293601693293706,6.172493555088979,9.800141507832969,29.11547432898176,0.7163943137769985,,34.69068569160736
Tokyo,Asia,2021-11-21,13.214285714285714,9.374898725494933,11.696264371800321,12.74360517794456,13.069809369945041,13.696838455377875,15.340857843913431,16.697705265897085,15.298780034369,0.6574582323396366,0.17541096694654607,14.945001068044848
Delhi,Asia,2021-11-21,18.014285714285712,13.639135022428933,15.97362937763981,17.561678476029215,18.33370650240282,19.567063089269883,20.974620939796697,24.107040142237352,13.129190226921624,1.5180729262685329,0.14775208755960048,12.572827412073421
Dubai,Asia,2021-11-21,26.75714285714286,23.238635416171864,24.547717906195476,25.96415489043376,26.314319845773944,26.47165044515767,26.92938354768954,28.62813149501966,5.268034961705733,1.0780788779155783,0.07650326692378281,5.558189560136887
Miami,America,2021-11-21,27.12857142857143,24.5306173479244,26.56101704052621,27.99115283148322,28.027363642505513,28.114305327056382,29.363053074479403,29.93122533459792,4.213866863163631,0.9114532561518328,0.051328367834489616,4.191823972838656
New york,America,2021-11-21,11.985714285714286,4.817247619219953,10.294250892563616,11.000473430546347,11.501360199275737,13.41028012461567,14.947015499751814,16.762622602620084,44.05956253898173,0.799908995102108,0.3604554998983014,28.620131126795535
New orleans,America,2021-11-21,23.885714285714283,16.94552118065258,19.596248848964432,22.16774471781291,22.768315223766784,24.19916913922721,26.48243145710472,27.735498624570003,11.03229318387478,0.9761990742711503,0.13641264307500853,10.903214992514886
Bahamas,America,2021-11-21,25.685714285714287,22.44803269158549,23.89408830132029,24.765685990188263,25.3906880055107,25.556124674959527,26.110903601462727,27.010278331069813,4.21362941820037,1.113426377306839,0.04748340721740141,4.181193290472711
