Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Shanghai,Asia,2021-11-21,14.942857142857141,11.077700897070352,11.986924075810672,13.227682833895516,13.55015315726361,14.195260952795188,15.734104360703931,17.717582702585293,22.82474452349037,0.9759114742805749,0.23096858207334964,21.375659094446853
Singapore,Asia,2021-11-21,27.385714285714283,26.491263296128288,26.997743426383604,27.29773256792655,27.510859799585244,27.76434480653281,27.983998073456803,28.344960785463048,1.3632702325190629,0.6621215368286016,0.01621430565403128,1.3622649598613896
Busan,Asia,2021-11-21,13.942857142857141,8.736358815966838,10.057272188505223,10.891927085825895,11.197470012220155,11.921035199825253,13.307643247072718,15.79320267312451,45.20853066790263,1.0832670396075375,0.36133647364605914,32.70631082742134
Qingdao,Asia,2021-11-21,11.299999999999999,6.414707592108133,7.396383334818906,7.84460140985779,8.5560074676937,8.938895577544914,10.253922996569429,12.055059398223172,98.9974156321412,0.8679542134793415,,71.23565213712168
Kuala,Asia,2021-11-21,28.17142857142857,26.283883543003846,26.676885838306514,27.025808068963453,27.127640434224965,27.301469485988274,27.53649916824567,28.223195202375827,2.035595250956072,1.018674264847748,0.023020247846044097,2.0530642415996736
Yakarta,Asia,2021-11-21,28.957142857142856,27.872894382497403,28.194248553120378,28.657759008764724,28.857431208420454,29.014724786600187,29.35003170861202,29.491597900215208,1.4924931290579433,0.8634218854051995,0.017223220721814446,1.4989300703978088
Beijing,Asia,2021-11-21,4.814285714285715,2.267963664092864,3.0684398832749076,4.573240577578031,5.343604883005909,6.309644090869693,7.73764804252859,10.29340150464716,40.471391558870806,0.8145881692491409,,53.749841618321746
Tokyo,Asia,2021-11-21,13.214285714285714,10.847236015400092,11.854156028182585,12.654198294035881,13.234328929129514,13.646609523573428,14.433732729438635,17.23188207442464,25.656848113503212,0.949921775629028,0.23858376219582197,21.95631145178487
Delhi,Asia,2021-11-21,18.014285714285712,17.68168447997615,18.854929734971215,19.638886522097092,20.094154416251712,20.818984852128548,21.92315068117656,23.728172344174265,15.470935261121213,1.8211593520278153,0.15560380275650243,15.189826829741286
Dubai,Asia,2021-11-21,26.75714285714286,25.157513212965362,26.028581776107917,26.77737715265224,26.81381431754189,26.94834217833704,28.18696595163779,28.832950940838572,4.574531763651594,0.9346348522241725,0.06523889834483727,4.739835734379216
Miami,America,2021-11-21,27.12857142857143,25.035055952888204,26.796939736981045,27.772860234004998,28.082026748886236,28.171690675421097,29.168390040406365,29.935054624060598,4.06486744775113,0.8726236325879836,0.04857764428060593,4.018126866319096
New york,America,2021-11-21,11.985714285714286,10.12930690225042,11.704258575951433,13.428383021288598,13.509238339512022,14.191158642887158,15.437691513919306,15.845615184578108,57.74224789534238,0.8088213150538511,0.38353776154670594,29.783137512976545
New orleans,America,2021-11-21,23.885714285714283,19.190228530449854,21.193232543241738,22.882287020982915,23.2946716408496,23.38653712691,24.6912698446592,26.19727117249817,10.39585822850892,0.8923886011327785,0.12857469398700133,10.065843013749083
Bahamas,America,2021-11-21,25.685714285714287,23.482586815735246,24.514212075782158,24.99944933258378,25.615437431304407,25.911280300498202,26.11814770336862,26.78787329103451,4.102783178888176,1.0666225957274516,0.04894499727408884,4.01027248832131
Los Angeles,America,2021-11-21,20.62857142857143,18.67725989477641,20.02955132655371,20.981596273707403,21.59153194291409,22.162615905935603,23.677941847597822,26.499083107014403,13.259874345498272,1.2058388286851838,0.15673315020640996,13.469428962662597
Bogota,America,2021-11-21,13.957142857142857,13.021129277146818,13.292481425908258,13.448634035840108,13.617086612844496,13.886446010917833,14.053534962653208,14.423856215538189,3.8313834332074572,1.2749876183907716,0.04329756528043181,3.8896444314188363
Calgary,America,2021-11-21,4.8999999999999995,-5.809928961032808,1.6387708414890874,5.093544719805954,6.449258558909744,8.855468760059201,11.169211813005589,13.840270113161155,482.9380708077301,1.346310235252628,,136.52604515350512
Vancouver,America,2021-11-21,5.25,3.7738469774973544,6.41141971735461,7.32437910746307,7.724388171024119,8.225780825105236,9.185952448544768,10.46175301238809,88.48021122741368,1.1654088164545433,,42.82992284262281
Sao Paulo,America,2021-11-21,19.5,18.24566577979939,18.73960468561228,19.92580637100657,20.446485253631614,20.835151702747826,22.160688127513442,23.446247497393706,5.767049092031741,0.6402851920294995,0.06295275532605378,5.595803501523532
Washington,America,2021-11-21,13.799999999999999,10.305841740089885,12.957158796985237,15.286271254329652,15.491283640703116,15.617629933777868,16.301112036486636,18.951399974001152,28.14999851461063,0.8725724380965806,0.28809160221129654,23.996958429892747
Hamburg,Europe,2021-11-21,8.028571428571428,2.5001192506571153,5.417025349875617,6.483386199353026,7.236904787014984,7.3850469603962585,8.246952353086492,9.70865687389972,53.54286985819443,0.9494821974881965,,48.521920410640426
Paris,Europe,2021-11-21,8.042857142857143,6.583483677101038,8.0739105901439,9.08029461070771,9.495071441386425,10.370876312458394,11.298662679329627,11.897135791142029,23.921712952607166,0.763550966697149,0.2564361730437173,22.457270899049973
Madrid,Europe,2021-11-21,9.157142857142857,7.373020793663973,9.245608525410402,9.872287499282733,10.047433146761215,10.521823114484198,13.16963580332501,14.863784878693716,24.315905169639247,0.7412830016703168,0.23417401463918752,21.662056221723667
Roma,Europe,2021-11-21,12.971428571428572,11.533036630327494,11.997069935138665,12.907929365881433,14.0906514086765,14.184387756404893,14.462816594457914,15.786250283494264,16.35498748848608,0.7193130286612369,0.17890757211899344,14.309256402987236
